Source,Destination,Protocol,SrcPort,DstPort,DataSize,Duration
10.198.0.166,111.183.8.139,6,5002,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,524,58,0.000
10.198.0.166,111.183.8.139,6,524,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,4445,58,0.000
10.198.0.166,111.183.8.139,6,4445,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,2119,58,0.000
10.198.0.166,111.183.8.139,6,2119,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,1687,58,0.000
111.183.8.139,10.198.0.166,6,22100,211,58,0.000
10.198.0.166,111.183.8.139,6,1687,22100,54,0.000
10.198.0.166,111.183.8.139,6,211,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,15003,58,0.000
10.198.0.166,111.183.8.139,6,15003,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,125,58,0.000
111.183.8.139,10.198.0.166,6,22100,2035,58,0.000
10.198.0.166,111.183.8.139,6,125,22100,54,0.000
10.198.0.166,111.183.8.139,6,2035,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,9618,58,0.000
111.183.8.139,10.198.0.166,6,22100,1060,58,0.000
10.198.0.166,111.183.8.139,6,9618,22100,54,0.000
10.198.0.166,111.183.8.139,6,1060,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,2049,58,0.000
10.198.0.166,111.183.8.139,6,2049,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,464,58,0.000
10.198.0.166,111.183.8.139,6,464,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,9099,58,0.000
10.198.0.166,111.183.8.139,6,9099,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,2718,58,0.000
10.198.0.166,111.183.8.139,6,2718,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,6669,58,0.000
10.198.0.166,111.183.8.139,6,6669,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,50003,58,0.000
10.198.0.166,111.183.8.139,6,50003,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,1132,58,0.000
111.183.8.139,10.198.0.166,6,22100,1163,58,0.000
10.198.0.166,111.183.8.139,6,1132,22100,54,0.000
10.198.0.166,111.183.8.139,6,1163,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,27715,58,0.000
10.198.0.166,111.183.8.139,6,27715,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,1011,58,0.000
10.198.0.166,111.183.8.139,6,1011,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,3324,58,0.000
10.198.0.166,111.183.8.139,6,3324,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,8082,58,0.000
10.198.0.166,111.183.8.139,6,8082,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,2111,58,0.000
10.198.0.166,111.183.8.139,6,2111,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,26214,58,0.000
10.198.0.166,111.183.8.139,6,26214,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,55600,58,0.000
10.198.0.166,111.183.8.139,6,55600,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,1147,58,0.000
111.183.8.139,10.198.0.166,6,22100,32769,58,0.000
10.198.0.166,111.183.8.139,6,1147,22100,54,0.000
10.198.0.166,111.183.8.139,6,32769,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,2492,58,0.000
10.198.0.166,111.183.8.139,6,2492,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,6839,58,0.000
10.198.0.166,111.183.8.139,6,6839,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,987,58,0.000
10.198.0.166,111.183.8.139,6,987,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,1862,58,0.000
